2024-05-11 15:08:52.972 [info] Extension host with pid 1916 started
2024-05-11 15:08:52.972 [info] Skipping acquiring lock for /home/lyzer/.config/Code/User/workspaceStorage/fa6ef7c14eb390a4544976283e72c4c1.
2024-05-11 15:08:53.002 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-05-11 15:08:53.007 [info] ExtensionService#_doActivateExtension ben.epiheader, startup: true, activationEvent: '*'
2024-05-11 15:08:53.024 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-05-11 15:08:53.047 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-05-11 15:08:53.193 [info] ExtensionService#_doActivateExtension LIL-EpiProjects.epilinter, startup: true, activationEvent: 'workspaceContains:**/*.c'
2024-05-11 15:08:53.226 [info] Eager extensions activated
2024-05-11 15:08:53.236 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-05-11 15:08:53.237 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-05-11 15:08:53.244 [info] ExtensionService#_doActivateExtension ms-vscode-remote.remote-containers, startup: false, activationEvent: 'onStartupFinished'
2024-05-11 15:08:53.277 [info] ExtensionService#_doActivateExtension shardulm94.trailing-spaces, startup: false, activationEvent: 'onStartupFinished'
2024-05-11 15:08:53.437 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2024-05-11 15:09:06.764 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2024-05-11 15:18:47.012 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-05-11 15:21:06.876 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-05-11 15:21:06.893 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
