2024-05-12 11:45:24.430 [info] Extension host with pid 1891 started
2024-05-12 11:45:24.430 [info] Skipping acquiring lock for /home/lyzer/.config/Code/User/workspaceStorage/0f291c1c09a43ed91043501ce1216462.
2024-05-12 11:45:24.479 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: 'onFileSystem:git', root cause: vscode.git
2024-05-12 11:45:24.481 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-05-12 11:45:24.486 [info] ExtensionService#_doActivateExtension LIL-EpiProjects.epilinter, startup: false, activationEvent: 'onLanguage:c'
2024-05-12 11:45:24.521 [info] ExtensionService#_doActivateExtension ms-vscode.cpptools, startup: false, activationEvent: 'onLanguage:c'
2024-05-12 11:45:24.736 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: 'onFileSystem:git'
2024-05-12 11:45:25.289 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-05-12 11:45:25.300 [info] ExtensionService#_doActivateExtension ben.epiheader, startup: true, activationEvent: '*'
2024-05-12 11:45:25.436 [info] Eager extensions activated
2024-05-12 11:45:25.465 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-05-12 11:45:25.467 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-05-12 11:45:25.476 [info] ExtensionService#_doActivateExtension ms-vscode-remote.remote-containers, startup: false, activationEvent: 'onStartupFinished'
2024-05-12 11:45:25.506 [info] ExtensionService#_doActivateExtension shardulm94.trailing-spaces, startup: false, activationEvent: 'onStartupFinished'
2024-05-12 11:45:25.872 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
